,grid_type,number_lights,height,width,diffuser_height,mean,std,min,1,5,10,90,95,99,max
170,ogrid,16,10,12.5,0.66,16.915926946229977,4.159393392417676,4.0,8.0,10.0,12.0,22.0,24.0,27.0,37.0
171,ogrid,16,10,12.5,0.95,17.30272421181512,4.200062885040717,4.0,8.0,11.0,12.0,23.0,25.0,28.0,33.0
172,ogrid,16,10,15.0,0.05,14.114376084073054,3.8366660750908856,3.0,6.0,8.0,9.0,19.0,21.0,24.0,33.0
173,ogrid,16,10,15.0,0.33,14.44536271808999,3.8857391381412105,2.0,6.0,8.0,10.0,20.0,21.0,24.0,32.0
174,ogrid,16,10,15.0,0.66,14.912049790837669,3.9390855476246207,3.0,7.0,9.0,10.0,20.0,22.0,25.0,33.0
175,ogrid,16,10,15.0,0.95,15.190082644628099,3.8917984135422037,3.0,7.0,9.0,10.0,20.0,22.0,25.0,32.0
176,ogrid,16,15,7.5,0.05,10.567084991327416,3.314426662552493,0.0,4.0,5.0,6.0,15.0,16.0,19.0,25.0
177,ogrid,16,15,7.5,0.33,10.969594939291909,3.3490742399441644,1.0,4.0,6.0,7.0,15.0,17.0,19.0,28.0
178,ogrid,16,15,7.5,0.66,11.392408937863483,3.402178479861615,1.0,4.0,6.0,7.0,16.0,17.0,20.0,25.0
179,ogrid,16,15,7.5,0.95,11.730843791449852,3.424495177374277,1.0,5.0,6.0,7.0,16.0,18.0,20.0,26.0
180,ogrid,16,15,10.0,0.05,10.028466483011938,3.231582267522223,0.0,3.0,5.0,6.0,14.0,16.0,18.0,25.0
181,ogrid,16,15,10.0,0.33,10.356494235282113,3.272328338666152,0.0,4.0,5.0,6.0,15.0,16.0,19.0,24.0
182,ogrid,16,15,10.0,0.66,10.744515865727987,3.282506087184782,1.0,4.0,6.0,7.0,15.0,16.0,19.0,29.0
183,ogrid,16,15,10.0,0.95,11.057749209264362,3.348013494980388,1.0,4.0,6.0,7.0,15.0,17.0,19.0,25.0
184,ogrid,16,15,12.5,0.05,9.28517498214468,3.079664234168288,0.0,3.0,5.0,6.0,13.0,15.0,17.0,24.0
185,ogrid,16,15,12.5,0.33,9.695031119273544,3.131369305711648,0.0,3.0,5.0,6.0,14.0,15.0,17.0,24.0
186,ogrid,16,15,12.5,0.66,9.977961432506888,3.160167475072358,1.0,3.0,5.0,6.0,14.0,15.0,18.0,25.0
187,ogrid,16,15,12.5,0.95,10.373533312927252,3.241676721493701,1.0,4.0,5.0,6.0,15.0,16.0,19.0,25.0
188,ogrid,16,15,15.0,0.05,8.562697683909805,2.919379293438416,0.0,3.0,4.0,5.0,12.0,14.0,16.0,21.0
189,ogrid,16,15,15.0,0.33,8.932455871849811,3.012697778066292,0.0,3.0,4.0,5.0,13.0,14.0,17.0,23.0
190,ogrid,16,15,15.0,0.66,9.277930823385368,3.1048230504465226,0.0,3.0,5.0,5.0,13.0,15.0,17.0,23.0
191,ogrid,16,15,15.0,0.95,9.583817977757372,3.0763735849813854,0.0,3.0,5.0,6.0,14.0,15.0,18.0,24.0
192,ogrid,36,1,7.5,0.05,253.23926129986737,101.10015779996598,16.0,43.0,77.0,98.0,363.0,380.0,406.0,473.0
193,ogrid,36,1,7.5,0.33,254.22865013774106,99.97715512703545,24.0,48.0,80.0,102.0,363.0,380.0,407.0,461.0
194,ogrid,36,1,7.5,0.66,255.3988368533823,98.76959816541209,19.0,49.0,82.0,104.0,364.0,378.0,408.0,455.0
195,ogrid,36,1,7.5,0.95,256.7459442913988,98.46028774360438,20.0,51.0,86.0,107.0,365.0,380.0,406.0,456.0
196,ogrid,36,1,10.0,0.05,196.9709213345577,37.11537054645924,86.0,123.0,144.0,155.0,251.0,268.0,294.0,352.0
197,ogrid,36,1,10.0,0.33,197.9732680338741,37.19903886696187,94.0,123.0,146.0,156.0,253.0,269.0,295.0,328.0
198,ogrid,36,1,10.0,0.66,199.3033363942455,37.1945241584665,100.0,130.0,147.0,157.0,254.0,272.0,297.0,343.0
199,ogrid,36,1,10.0,0.95,200.64707682889502,37.282564520946785,110.0,133.0,149.0,159.0,255.0,273.0,298.0,362.0
200,ogrid,36,1,12.5,0.05,136.06172839506172,39.73122850800526,63.0,84.0,92.0,97.0,199.0,222.0,251.0,284.0
201,ogrid,36,1,12.5,0.33,136.83164983164983,39.47304699228888,71.0,85.0,94.0,99.0,199.0,221.0,251.0,300.0
202,ogrid,36,1,12.5,0.66,138.07489031731455,39.38936392815885,68.0,87.0,95.0,100.0,201.0,223.0,254.0,298.0
203,ogrid,36,1,12.5,0.95,139.0810121416182,39.15585354563232,70.0,87.0,96.0,101.0,201.0,223.0,254.0,302.0
