,grid_type,number_lights,height,width,mean,std,min,1,5,10,90,95,99,max
144,ogrid,16,1,7.5,104.99449035812673,49.63354919241735,4.0,16.0,29.0,42.0,177.0,203.0,230.0,275.0
145,ogrid,16,1,10.0,73.61799816345271,41.970684918447745,14.0,28.0,35.0,39.0,138.0,171.0,212.0,248.0
146,ogrid,16,1,12.5,46.206917661463116,37.92869220493304,8.0,15.0,18.0,20.0,99.0,137.0,194.0,241.0
147,ogrid,16,1,15.0,35.26691153963881,36.57043576029716,2.0,7.0,10.0,12.0,80.0,121.0,185.0,235.0
148,ogrid,16,2,7.5,82.33619018467503,24.04482866790616,14.0,26.0,40.0,48.0,111.0,117.0,127.0,147.0
149,ogrid,16,2,10.0,61.95673910825426,11.249603638368592,24.0,37.0,44.0,48.0,77.0,81.0,89.0,103.0
150,ogrid,16,2,12.5,43.460157126823795,10.473937469816342,15.0,25.0,29.0,32.0,58.0,63.0,74.0,91.0
151,ogrid,16,2,15.0,32.50372410978471,11.083087314138343,10.0,15.0,19.0,21.0,49.0,55.0,65.0,86.0
152,ogrid,16,3,7.5,66.03642485460668,18.351820259548706,12.0,26.0,36.0,42.0,90.0,95.0,104.0,122.0
153,ogrid,16,3,10.0,51.96928884807673,9.277522119962107,19.0,32.0,37.0,40.0,64.0,67.0,73.0,85.0
154,ogrid,16,3,12.5,38.856137128864404,6.807010326712491,15.0,24.0,28.0,30.0,48.0,51.0,56.0,66.0
155,ogrid,16,3,15.0,29.5131109070503,6.079487131670645,12.0,17.0,20.0,22.0,37.0,40.0,45.0,58.0
156,ogrid,16,5,7.5,44.433629221508006,11.207256546857032,12.0,21.0,27.0,30.0,59.0,63.0,71.0,90.0
157,ogrid,16,5,10.0,37.06274869911233,7.516688296968613,13.0,21.0,25.0,27.0,47.0,50.0,55.0,72.0
158,ogrid,16,5,12.5,29.973982246709518,5.786762505156373,8.0,17.0,21.0,23.0,38.0,40.0,44.0,53.0
159,ogrid,16,5,15.0,24.009590858075708,4.89813695021245,9.0,13.0,16.0,18.0,30.0,32.0,36.0,46.0
160,ogrid,16,10,7.5,19.77787980818284,4.958777569771828,4.0,9.0,12.0,14.0,26.0,28.0,32.0,40.0
161,ogrid,16,10,10.0,17.79991837567595,4.47285045333627,5.0,8.0,11.0,12.0,24.0,25.0,29.0,35.0
162,ogrid,16,10,12.5,15.981940618304254,4.099215951887151,4.0,7.0,10.0,11.0,21.0,23.0,26.0,35.0
163,ogrid,16,10,15.0,13.947352310988675,3.804084307943726,2.0,6.0,8.0,9.0,19.0,20.0,24.0,30.0
164,ogrid,16,15,7.5,10.509947964493419,3.267536725543638,0.0,4.0,6.0,6.0,15.0,16.0,19.0,24.0
165,ogrid,16,15,10.0,9.952249770431589,3.1926168028832147,0.0,3.0,5.0,6.0,14.0,15.0,18.0,25.0
166,ogrid,16,15,12.5,9.206917661463116,3.0623619156216755,0.0,3.0,5.0,5.0,13.0,15.0,17.0,23.0
167,ogrid,16,15,15.0,8.493725130088766,2.932040927956839,0.0,2.0,4.0,5.0,12.0,14.0,16.0,25.0
168,ogrid,36,1,7.5,253.02030405060708,101.30474650313415,21.0,44.0,76.0,96.0,363.0,380.0,404.0,463.0
169,ogrid,36,1,10.0,196.55871849811243,37.32604171641733,67.0,119.0,143.0,155.0,250.0,267.0,294.0,338.0
170,ogrid,36,1,12.5,135.72910927456383,39.65727805326555,71.0,84.0,92.0,97.0,198.0,220.0,249.0,286.0
171,ogrid,36,1,15.0,100.6226915620855,43.86870049027551,38.0,51.0,57.0,61.0,174.0,198.0,228.0,272.0
172,ogrid,36,2,7.5,200.85603509845933,68.14563339520727,34.0,63.0,90.0,107.0,288.0,299.0,317.0,356.0
173,ogrid,36,2,10.0,160.56932966023876,23.650628391083394,78.0,104.0,118.0,127.0,190.0,196.0,208.0,232.0
174,ogrid,36,2,12.5,118.74053667993061,12.71587265922678,72.0,89.0,98.0,103.0,135.0,140.0,149.0,172.0
175,ogrid,36,2,15.0,88.69584736251403,10.563340230224195,50.0,66.0,72.0,75.0,102.0,106.0,115.0,130.0
176,ogrid,36,3,7.5,161.43720028568512,49.23968559778982,40.0,63.0,83.0,97.0,228.0,239.0,255.0,284.0
