,light_height,light_width,mirror_offset,inter_0,inter_1,inter_2,inter_3,metric
7594,1.736842105263158,5.0,2.18421052631579,127.44209774512805,61.20540966512122,60.0,222.0,0.4802605320223633
7595,1.736842105263158,5.0,3.2263157894736847,127.52698704213856,61.014857925402985,60.0,221.0,0.4784466358108338
7596,1.736842105263158,5.0,1.6631578947368424,127.46872768084889,61.030153124102604,59.0,222.0,0.4787853007908533
7597,1.0,15.0,10.0,36.97122742577288,36.50337891749267,13.0,83.0,0.9873456051947556
7598,1.736842105263158,5.0,1.142105263157895,127.49433731251914,61.11357698983663,60.0,222.0,0.47934346166318453
7599,1.736842105263158,5.0,0.6210526315789474,127.53208856239159,60.991608808768454,60.0,221.0,0.478245196924929
7600,1.736842105263158,5.0,0.1,127.52566064687277,61.14725519022895,59.0,222.0,0.47948981310945615
7601,1.0,15.0,9.478947368421053,37.052239567391084,36.522768046677385,13.0,83.0,0.9857101344778177
7602,1.0,15.0,8.957894736842105,37.15712682379349,36.46201062788212,13.0,83.0,0.9812925202960997
7603,1.0,15.0,8.436842105263159,37.386491174369965,36.58695173674835,14.0,83.0,0.9786142156563294
7604,1.0,15.0,7.915789473684211,37.41281501887563,36.620264138594266,14.0,83.0,0.9788160586183772
7605,1.0,15.0,7.394736842105264,37.58963371084583,36.50764904245105,14.0,83.0,0.9712158762514732
7606,1.0,15.0,6.873684210526316,37.76675849403122,36.555962789391515,14.0,85.0,0.9679401740334409
7607,1.0,15.0,6.352631578947369,37.931537598204265,36.522823651208,14.0,83.0,0.9628616703620537
7608,1.0,15.0,5.831578947368421,38.2043669013366,36.673997727060275,14.0,84.0,0.9599425589690171
7609,1.0,15.0,5.310526315789474,38.35751453933272,36.649005498451466,15.0,83.0,0.9554582964668029
7610,1.0,15.0,4.7894736842105265,38.6164677073768,36.703853616899494,15.0,85.0,0.9504715422194883
7611,1.0,15.0,4.268421052631579,38.88378736863585,36.67889802643916,15.0,84.0,0.9432954068673057
7612,1.0,15.0,3.747368421052632,39.25507601265177,36.57916530138911,15.0,85.0,0.9318327466644002
7613,1.0,15.0,3.2263157894736847,39.52464034282216,36.597832123319016,16.0,85.0,0.9259497823606467
7614,1.0,15.0,2.18421052631579,40.39618406285073,36.58331040058736,16.0,86.0,0.9056130238358385
7615,1.0,15.0,1.6631578947368424,40.9690847872666,36.6486552204227,17.0,88.0,0.8945441522729178
7616,1.0,15.0,2.7052631578947373,39.92510968268544,36.525089152372026,16.0,85.0,0.914840045341493
7617,1.0,15.0,1.142105263157895,41.682787470666256,36.53550403960016,18.0,87.0,0.8765129746975672
7618,1.0,14.473684210526315,10.0,39.098663401693706,37.684603394161705,14.0,87.0,0.963833546098388
7619,1.0,15.0,0.6210526315789474,42.46260585654525,36.4879644309755,19.0,87.0,0.8592964019741429
7620,1.0,14.473684210526315,9.478947368421053,39.2368125701459,37.54766430808748,15.0,86.0,0.9569499112844949
7621,1.0,15.0,0.1,43.56596265687175,36.41142707649617,19.0,89.0,0.8357769427310685
7622,1.0,14.473684210526315,8.957894736842105,39.289154167942044,37.48072665563503,15.0,87.0,0.9539713299864674
7623,1.0,14.473684210526315,8.436842105263159,39.40761146821753,37.49643875507074,15.0,88.0,0.9515024473206614
7624,1.0,14.473684210526315,7.915789473684211,39.59402101826344,37.557739257685874,15.0,87.0,0.9485709784404495
7625,1.0,14.473684210526315,7.394736842105264,39.68564432200796,37.640284107193565,15.0,89.0,0.9484609548425519
7626,1.0,14.473684210526315,6.352631578947369,40.078257320681566,37.542899960969216,16.0,88.0,0.9367398302918717
7627,1.0,14.473684210526315,6.873684210526316,39.92082440567289,37.70193131537933,15.0,89.0,0.9444176536099229
