,light_height,light_width,grid_type,inter_0,inter_1,inter_2,inter_3,metric
1365,2.473684210526316,14.473684210526315,grid,32.82522191613101,7.641343074451269,24.0,43.0,0.23278877120694047
1366,2.473684210526316,14.473684210526315,ogrid,32.95306601367207,7.630979946909612,24.0,43.0,0.23157116681475268
1367,2.473684210526316,14.473684210526315,circle,32.878685848382815,7.673209950946453,24.0,43.0,0.23337946006512517
1368,2.473684210526316,13.947368421052632,spiral,34.79665340271401,7.7339294641069065,25.0,45.0,0.2222607264727271
1369,2.473684210526316,13.947368421052632,grid,34.86695235180083,7.649929867890911,26.0,45.0,0.21940345662289587
1370,2.473684210526316,13.947368421052632,ogrid,34.83522089582696,7.655412093924093,25.0,45.0,0.21976068751845243
1371,2.473684210526316,13.947368421052632,circle,34.86338128762371,7.709116237968258,26.0,45.0,0.22112359596930284
1372,2.473684210526316,13.421052631578947,spiral,36.986634016937046,7.6390971609054406,28.0,47.0,0.20653669532099944
1373,2.473684210526316,13.421052631578947,grid,36.94765840220386,7.701065672001122,28.0,47.0,0.2084317655037584
1374,2.473684210526316,13.421052631578947,ogrid,37.01642689521477,7.736268318257804,28.0,47.0,0.20899554514425311
1375,2.473684210526316,13.421052631578947,circle,37.08172635445363,7.655802960267488,28.0,47.0,0.206457565839515
1376,2.473684210526316,12.894736842105264,spiral,39.39465360677482,7.789296729575323,30.0,50.0,0.19772471684421092
1377,2.473684210526316,12.894736842105264,grid,39.43413937353331,7.734892506169251,30.0,50.0,0.1961471108295726
1378,2.473684210526316,12.894736842105264,circle,39.41505968778696,7.609041611966366,30.0,50.0,0.19304909525036398
1379,2.473684210526316,12.894736842105264,ogrid,39.41975308641975,7.755952164657672,30.0,50.0,0.19675293621586953
1380,2.473684210526316,12.368421052631579,spiral,41.98326701357004,7.820042947834199,32.0,52.0,0.18626570784275948
1381,2.473684210526316,12.368421052631579,grid,42.021324354657686,7.819177129829055,32.0,52.0,0.18607640882128385
1382,2.473684210526316,12.368421052631579,ogrid,41.99336802367105,7.792905195283012,32.0,52.0,0.185574664811126
1383,2.473684210526316,12.368421052631579,circle,41.99540863177227,7.813983639030256,32.0,52.0,0.18606757008951846
1384,2.473684210526316,11.842105263157894,spiral,44.89939802061014,7.929085800861077,35.0,55.0,0.1765967062013035
1385,2.473684210526316,11.842105263157894,grid,45.021222324252626,7.90106657036552,35.0,55.0,0.17549649170918377
1386,2.473684210526316,11.842105263157894,ogrid,44.99969390878482,8.050276913245487,35.0,55.0,0.17889625937375353
1387,2.473684210526316,11.842105263157894,circle,44.951637588001226,8.02528320465503,35.0,55.0,0.1785314981894495
1388,2.473684210526316,11.31578947368421,spiral,48.16967656361596,8.251460855623272,38.0,59.0,0.17129990160357136
1389,2.473684210526316,11.31578947368421,grid,48.15753494541374,8.192440828615263,38.0,59.0,0.17011752860484539
1390,2.473684210526316,11.31578947368421,ogrid,48.152331394755635,8.183112313337988,38.0,59.0,0.16994218299114852
1391,2.473684210526316,11.31578947368421,circle,48.15712682379349,8.18958369908419,38.0,59.0,0.1700596409966443
1392,2.473684210526316,10.789473684210526,spiral,51.61238649117437,8.535302469992311,41.0,63.0,0.1653731410279165
1393,2.473684210526316,10.789473684210526,grid,51.60422405876951,8.634312386348977,41.0,63.0,0.16731793847952803
1394,2.473684210526316,10.789473684210526,ogrid,51.48301193755739,8.6168153830127,41.0,63.0,0.16737201377153
1395,2.473684210526316,10.789473684210526,circle,51.52464034282216,8.674823098833917,41.0,63.0,0.16836261332666239
1396,2.473684210526316,10.263157894736842,spiral,55.16784001632487,9.420354428617532,43.0,67.0,0.17075807981298396
1397,2.473684210526316,10.263157894736842,grid,55.129476584022036,9.324718871030935,43.0,67.0,0.16914216221188436
1398,2.473684210526316,10.263157894736842,ogrid,55.219875522905824,9.348817276847585,43.0,67.0,0.16930167241991684
1399,2.473684210526316,10.263157894736842,circle,55.17875726966636,9.374939062556336,43.0,67.0,0.16990123602711255
1400,2.473684210526316,9.736842105263158,spiral,58.85174982144679,10.312936377081904,45.0,72.0,0.1752358495434856
1401,2.473684210526316,9.736842105263158,grid,58.94378124681155,10.23825958537465,46.0,72.0,0.17369533085270922
1402,2.473684210526316,9.736842105263158,ogrid,58.91592694622997,10.339955241728479,46.0,72.0,0.17550356546482432
1403,2.473684210526316,9.736842105263158,circle,58.91796755433119,10.315075380997953,46.0,72.0,0.17507520726145057
1404,2.473684210526316,9.210526315789473,spiral,62.78634833180288,11.764813513053157,47.0,77.0,0.18737852774747182
1405,2.473684210526316,9.210526315789473,grid,62.704826038159375,11.721433662927774,47.0,78.0,0.18693032743276616
1406,2.473684210526316,9.210526315789473,ogrid,62.646362616059584,11.63763624506445,47.0,77.0,0.18576715006405026
1407,2.473684210526316,9.210526315789473,circle,62.63095602489542,11.701269982630615,47.0,77.0,0.18682885788905143
1408,2.473684210526316,8.68421052631579,spiral,66.35343332313029,13.865429984501175,48.0,84.0,0.20896326369396462
1409,2.473684210526316,8.68421052631579,grid,66.26344250586675,13.792010301375017,48.0,83.0,0.2081390549570967
1410,2.473684210526316,8.68421052631579,ogrid,66.32404856647281,13.943561160706077,47.0,84.0,0.21023386632876068
1411,2.473684210526316,8.68421052631579,circle,66.35414753596572,13.85147119073666,48.0,84.0,0.20875064641933336
1412,2.473684210526316,8.157894736842106,spiral,69.86593204775023,16.62435963283368,47.0,91.0,0.23794658062346719
1413,2.473684210526316,8.157894736842106,grid,69.95551474339354,16.557970021421553,47.0,91.0,0.23669284805005678
1414,2.473684210526316,8.157894736842106,ogrid,69.83297622691562,16.647296923404113,47.0,91.0,0.23838733250191577
1415,2.473684210526316,8.157894736842106,circle,69.89215386185083,16.619403468199753,47.0,90.0,0.23778639732651174
1416,2.473684210526316,7.631578947368421,spiral,73.139475563718,20.07287594312633,45.0,99.0,0.27444653914204165
1417,2.473684210526316,7.631578947368421,grid,73.09315375982042,20.188176950496576,45.0,98.0,0.2761979188479632
1418,2.473684210526316,7.631578947368421,ogrid,73.0942760942761,20.02872360630895,46.0,98.0,0.2740122028225049
1419,2.473684210526316,7.631578947368421,circle,73.1547801244771,20.228498300936366,46.0,99.0,0.2765164253999042
1420,2.473684210526316,7.105263157894736,spiral,76.06866646260586,24.271726372446924,43.0,107.0,0.319076533100242
1421,2.473684210526316,7.105263157894736,grid,76.20569329660239,24.449697495325,43.0,108.0,0.32083820037124555
1422,2.473684210526316,7.105263157894736,ogrid,76.11968166513621,24.37504258647395,43.0,108.0,0.3202199753501863
1423,2.473684210526316,7.105263157894736,circle,76.13682277318641,24.51942653053083,43.0,108.0,0.32204425713396057
1424,2.473684210526316,6.578947368421053,spiral,78.81205999387818,29.243273507858788,40.0,118.0,0.37105074413903527
1425,2.473684210526316,6.578947368421053,grid,78.95908580757066,29.27748215735466,40.0,118.0,0.3707930741334332
1426,2.473684210526316,6.578947368421053,ogrid,78.86338128762371,29.083539448716124,40.0,118.0,0.3687838255710233
1427,2.473684210526316,6.578947368421053,circle,78.76410570349964,29.051531662341258,41.0,118.0,0.3688422715253459
1428,2.473684210526316,6.052631578947368,spiral,81.10366289154167,34.55709337650678,37.0,129.0,0.42608548300363813
1429,2.473684210526316,6.052631578947368,grid,81.28680746862565,34.61658573249675,37.0,130.0,0.4258573661643404
1430,2.473684210526316,6.052631578947368,ogrid,81.12743597592082,34.61500741203884,37.0,129.0,0.4266744905177678
1431,2.473684210526316,6.052631578947368,circle,81.19783695541271,34.5875362364274,37.0,129.0,0.425966226851832
1432,2.473684210526316,5.526315789473684,spiral,83.18549127640037,40.41403509823141,34.0,142.0,0.48583033505143014
1433,2.473684210526316,5.526315789473684,grid,83.31037649219468,40.34176998776092,34.0,141.0,0.4842346378249836
1434,2.473684210526316,5.526315789473684,ogrid,83.25793286399347,40.59569437222484,34.0,142.0,0.48758950619804836
1435,2.473684210526316,5.526315789473684,circle,83.26762575247423,40.427176479030194,34.0,142.0,0.4855089371613185
1436,2.473684210526316,5.0,spiral,84.99520457096214,46.57522500195506,31.0,156.0,0.5479747385403326
1437,2.473684210526316,5.0,grid,85.16528925619835,46.6982798071376,31.0,156.0,0.5483252650813828
1438,2.473684210526316,5.0,ogrid,85.0371390674421,46.70718482538601,31.0,156.0,0.5492563053931413
1439,2.473684210526316,5.0,circle,85.04938271604938,46.73861489726224,31.0,156.0,0.5495467856986851
1440,1.736842105263158,15.0,spiral,33.297010509131724,14.483109944578903,19.0,55.0,0.4349672755338472
1441,1.736842105263158,15.0,grid,33.30956024895419,14.515298405042774,19.0,55.0,0.4357697398751611
1442,1.736842105263158,15.0,ogrid,33.24079175594327,14.56622300785685,19.0,56.0,0.43820325083720335
1443,1.736842105263158,15.0,circle,33.246097337006425,14.532866372531295,19.0,55.0,0.43712999529585916
1444,1.736842105263158,14.473684210526315,spiral,35.13468013468013,14.658936599374785,21.0,57.0,0.41722129084947884
1445,1.736842105263158,14.473684210526315,grid,35.08744005713703,14.450073297083865,21.0,57.0,0.4118303664659804
1446,1.736842105263158,14.473684210526315,ogrid,35.04713804713805,14.503609218446778,21.0,57.0,0.4138314860100579
1447,1.736842105263158,14.473684210526315,circle,35.06642179369452,14.442599866019286,21.0,57.0,0.41186408898487287
1448,1.736842105263158,13.947368421052632,spiral,37.23262932353841,14.435017073091817,23.0,60.0,0.3876980308765361
1449,1.736842105263158,13.947368421052632,grid,37.221610039791855,14.45811553012839,23.0,60.0,0.38843337283561635
1450,1.736842105263158,13.947368421052632,ogrid,37.14937251300888,14.418742828156388,23.0,59.0,0.3881288391373843
1451,1.736842105263158,13.947368421052632,circle,37.21263136414652,14.392102935255917,23.0,59.0,0.38675316438714313
1452,1.736842105263158,13.421052631578947,spiral,39.51290684624018,14.360171687454477,25.0,61.0,0.36342989756069816
1453,1.736842105263158,13.421052631578947,grid,39.5559636771758,14.092554677174652,25.0,61.0,0.3562687738361486
1454,1.736842105263158,13.421052631578947,ogrid,39.53331292725232,14.264998848820369,25.0,61.0,0.36083489575159744
1455,1.736842105263158,13.421052631578947,circle,39.55484134272013,14.33483442847725,25.0,62.0,0.3624040431428884
